N,Посада,Мова програмування,Спеціалізація,Загальний досвід роботи,Досвід роботи на поточному місці,Зарплата на місяць,Зміна зарплати за 12 місяців,Місто,Розмір компанії,Тип компанії,Стать,Вік,Освіта,Університет,Ще студент,Рівень англійської,Предметна область,Дата заповнення,User.Agent,exp,current_job_exp,salary,Валюта,cls,Unnamed: 25,Unnamed: 26,avg
4146,Software Engineer,C#/.NET,,6.0,4.0,2600,220,Львів,до 10 осіб,Продуктова,чоловіча,31,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,4.0,2600,,DEV,,,2600
4147,Software Engineer,JavaScript,,1.5,1.0,1000,700,Запоріжжя,до 200 осіб,Аутсорсингова,чоловіча,27,Вища,ЗНТУ,False,Pre-intermediate (нище середнього),Веб-розробка,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36",1.5,1.0,1000,,DEV,,,1000
4148,Software Engineer,JavaScript,,1.5,,1300,400,Дніпро,до 200 осіб,Аутсорсингова,чоловіча,21,Вища,ДНУ ім. Гончара,True,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,0.0,1300,,DEV,,,1300
4149,Junior QA engineer,,Manual QA,,,170,190,Суми,більше 1000 осіб,Продуктова,чоловіча,25,Вища,СумГУ,False,Elementary (початковий),"Телекомунікації,Корпоративні системи",,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.0,0.0,170,,QA,,,170
4150,Junior Software Engineer,C#/.NET,,1.5,1.5,700,200,Віддалено,до 10 осіб,Стартап,чоловіча,26,Вища,ХАІ,False,Pre-intermediate (нище середнього),"Android,iOS",,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.5,1.5,700,,DEV,,,700
4151,Senior QA engineer,,Automation QA,7.0,4.0,2200,0,Дніпро,більше 1000 осіб,Аутсорсингова,чоловіча,30,Вища,НГУ [Дніпро],False,Upper-Intermediate (вище середнього),"Веб-розробка,eCommerce",,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",7.0,4.0,2200,,QA,,,2200
4152,HR,,,3.0,1.5,800,300,Київ,до 50 осіб,Аутстафінгова,жіноча,26,Вища,НАУ,False,Upper-Intermediate (вище середнього),Інше,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.5,800,,,,,800
4153,Director of Engineering / Program Director,,,,0.5,1900,830,Київ,до 10 осіб,Інша,чоловіча,39,Дві вищих,Інший ВНЗ,False,Intermediate (середній),Інше,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,1900,,SPM,,,1900
4154,Senior Software Engineer,JavaScript,,7.0,0.5,3700,300,Київ,до 10 осіб,Аутстафінгова,жіноча,27,Вища,ХНУРЕ,False,Intermediate (середній),"iOS,Веб-розробка",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.5,3700,,DEV,,,3700
4155,Designer,,,5.0,5.0,300,50,Інше,до 200 осіб,Інша,жіноча,32,Вища,Інший ВНЗ,False,Elementary (початковий),"Android,iOS",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,5.0,300,,,,,300
4156,Senior QA engineer,,Manual QA,5.0,5.0,2750,0,Київ,до 1000 осіб,Аутсорсингова,чоловіча,29,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,5.0,2750,,QA,,,2750
4157,Software Engineer,Java,,3.0,0.25,2700,1000,Київ,до 50 осіб,Продуктова,чоловіча,26,Вища,ДонНТУ,False,Intermediate (середній),"Android,Фінанси та банкінг",,"Mozilla/5.0 (Linux; Android 7.1.2; Nexus 6P Build/N2G47O) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,0.25,2700,,DEV,,,2700
4158,QA engineer,,Manual QA,2.0,,900,200,Вінниця,до 200 осіб,Продуктова,чоловіча,21,Неповна Вища,ХНУРЕ,True,Intermediate (середній),Desktop Applications,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,900,,QA,,,900
4159,Technical Lead,Java,,7.0,0.25,4200,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,27,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.25,4200,,SDEV,,,4200
4160,Junior Software Engineer,PHP,,2.0,0.5,980,700,Київ,до 200 осіб,Аутсорсингова,жіноча,20,Неповна Вища,ЖГТУ,True,Pre-intermediate (нище середнього),"Веб-розробка,eCommerce",,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",2.0,0.5,980,,DEV,,,980
4161,QA engineer,,Manual QA,2.0,0.25,900,300,Харків,до 1000 осіб,Аутсорсингова,чоловіча,25,Вища,НТУ «ХПІ»,False,Intermediate (середній),Desktop Applications,,"Mozilla/5.0 (Linux; Android 5.0.2; Redmi Note 2 Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.25,900,,QA,,,900
4162,Software Engineer,C++,,5.0,,3040,700,Львів,до 1000 осіб,Аутсорсингова,чоловіча,24,Вища,Львівська Політехніка,False,Intermediate (середній),"Системне програмування,Мультимедіа",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,0.0,3040,,DEV,,,3040
4163,Software Engineer,Java,,0.5,0.25,1200,1200,Львів,до 50 осіб,Аутсорсингова,чоловіча,23,Вища,Львівська Політехніка,False,Advanced (просунутий),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.25,1200,,DEV,,,1200
4164,Junior Software Engineer,JavaScript,,1.0,1.0,300,100,Київ,до 10 осіб,Аутсорсингова,чоловіча,21,Вища,ДонНТУ,True,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,300,,DEV,,,300
4165,Junior Software Engineer,Java,,1.0,1.0,500,300,Миколаїв,до 10 осіб,Продуктова,чоловіча,32,Вища,НУК,False,Pre-intermediate (нище середнього),"Android, Веб-розробка",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,,DEV,,,500
4166,Software Engineer,PHP,,3.0,3.0,750,0,Харків,до 200 осіб,Інша,чоловіча,34,Технікум / Коледж,,False,Pre-intermediate (нище середнього),Веб-розробка,,"Mozilla/5.0 (Linux; Android 6.0; Lenovo A7000-a Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,3.0,750,,DEV,,,750
4167,HR,,,,,1000,0,Львів,до 50 осіб,Аутстафінгова,жіноча,33,Вища,ЛНУ ім. Франко,False,Upper-Intermediate (вище середнього),Веб-розробка,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.0,1000,,,,,1000
4168,Junior Software Engineer,Java,,1.0,1.0,350,100,Львів,до 1000 осіб,Аутсорсингова,чоловіча,21,Неповна Вища,Львівська Політехніка,True,Intermediate (середній),Інше,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,350,,DEV,,,350
4169,QA engineer,,Manual QA,2.0,0.25,1000,424,Київ,до 50 осіб,Продуктова,жіноча,27,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"iOS,Фінанси та банкінг",,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",2.0,0.25,1000,,QA,,,1000
4170,Software Engineer,Swift,,3.0,2.0,2000,600,Дніпро,до 10 осіб,Продуктова,чоловіча,30,Вища,НметАУ,False,Upper-Intermediate (вище середнього),"iOS,Фінанси та банкінг",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4",3.0,2.0,2000,,DEV,,,2000
4171,Junior Software Engineer,Java,,0.5,0.5,400,100,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,39,Вища,Львівська Політехніка,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,400,,DEV,,,400
4172,Game designer,,,2.0,1.0,1700,1200,Київ,до 50 осіб,Продуктова,чоловіча,28,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),Gamedev,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,2.0,1.0,1700,,,,,1700
4173,DevOps,,,,,2000,0,Київ,до 1000 осіб,Аутстафінгова,чоловіча,34,Вища,Інший ВНЗ,False,Intermediate (середній),"Системне програмування,Інше",,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,0.0,2000,,ADM,,,2000
4174,QA Tech Lead,,General QA,4.0,0.25,2400,900,Харків,до 200 осіб,Продуктова,чоловіча,29,Неповна Вища,НТУ «ХПІ»,False,Intermediate (середній),"Веб-розробка,eCommerce",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.25,2400,,QA,,,2400
4175,Junior Software Engineer,JavaScript,,1.0,0.5,550,0,Харків,до 200 осіб,Аутсорсингова,чоловіча,23,Неповна Вища,НТУ «ХПІ»,False,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.5,550,,DEV,,,550
4176,HR,,,6.0,1.0,1300,300,Київ,до 1000 осіб,Продуктова,жіноча,29,Вища,НаУКМА,False,Upper-Intermediate (вище середнього),Gamedev,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,1300,,,,,1300
4177,Support,,,0.5,0.5,800,800,Київ,до 1000 осіб,Аутсорсингова,чоловіча,21,Середня,,False,Upper-Intermediate (вище середнього),Інше,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,800,,,,,800
4178,HTML coder,,,1.5,0.5,650,450,Київ,до 50 осіб,Продуктова,чоловіча,24,Вища,НаУКМА,False,Upper-Intermediate (вище середнього),Gamedev,,"Mozilla/5.0 (Linux; Android 5.1; MZ-m2 note Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36",1.5,0.5,650,,,,,650
4179,Junior Software Engineer,JavaScript,,1.0,1.0,520,150,Харків,до 200 осіб,Аутсорсингова,чоловіча,22,Середня,,True,Intermediate (середній),"Веб-розробка,eCommerce",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,520,,DEV,,,520
4180,Software Engineer,SQL,,5.0,5.0,800,0,Київ,до 50 осіб,Продуктова,чоловіча,40,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",5.0,5.0,800,,DEV,,,800
4181,Junior Software Engineer,JavaScript,,1.0,1.0,450,50,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,22,Неповна Вища,ДНУЗТ,True,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,450,,DEV,,,450
4182,Junior Software Engineer,JavaScript,,1.5,1.0,800,350,Київ,більше 1000 осіб,Продуктова,чоловіча,25,Вища,ХНУРЕ,False,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/28.0.157793287 Mobile/14F89 Safari/602.1",1.5,1.0,800,,DEV,,,800
4183,Senior Software Engineer,PHP,,2.0,1.0,1833,0,Віддалено,до 50 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Elementary (початковий),Веб-розробка,,Mozilla/5.0 (Windows NT 6.1; rv:52.0) Gecko/20100101 Firefox/52.0,2.0,1.0,1833,,DEV,,,1833
4184,Product Manager,,,2.0,1.0,2000,800,Київ,до 200 осіб,Продуктова,чоловіча,26,Дві вищих,КНЕУ,False,Advanced (просунутий),"Веб-розробка,eCommerce",,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.0,2000,,,,,2000
4185,Project manager,,,3.0,3.0,1300,100,Харків,до 200 осіб,Аутсорсингова,чоловіча,26,Вища,ХНУ ім. Каразіна,False,Advanced (просунутий),Веб-розробка,,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 3 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",3.0,3.0,1300,,PM,,,1300
4186,Sales manager,,,0.5,,700,200,Київ,до 200 осіб,Аутсорсингова,чоловіча,22,Вища,ДНУ ім. Гончара,False,Upper-Intermediate (вище середнього),,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.0,700,,,,,700
4187,Junior Software Engineer,Python,,1.0,0.5,750,0,Львів,до 50 осіб,Аутсорсингова,чоловіча,39,Вища,Львівська Політехніка,False,Pre-intermediate (нище середнього),Веб-розробка,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,750,,DEV,,,750
4188,Junior Software Engineer,PHP,,0.5,,300,100,Дніпро,до 50 осіб,Продуктова,чоловіча,24,Вища,Інший ВНЗ,False,Intermediate (середній),eCommerce,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.0,300,,DEV,,,300
4189,Junior Software Engineer,JavaScript,,0.25,0.25,385,0,Київ,до 50 осіб,Інша,чоловіча,30,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,385,,DEV,,,385
4190,Senior QA engineer,,General QA,5.0,5.0,2050,200,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,27,Неповна Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Веб-розробка,Фінанси та банкінг",,"Mozilla/5.0 (Linux; Android 6.0.1; MI 4W Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,5.0,2050,,QA,,,2050
4191,Junior Software Engineer,JavaScript,,0.5,0.5,300,0,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,ЛНУ ім. Франко,False,Upper-Intermediate (вище середнього),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,300,,DEV,,,300
4192,Senior QA engineer,,General QA,5.0,,1800,-300,Одеса,до 200 осіб,Аутстафінгова,чоловіча,33,Вища,ОНПУ,False,Intermediate (середній),Інше,,"Mozilla/5.0 (Linux; Android 4.4.2; XT907 Build/KDA20.62-15) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.89 Mobile Safari/537.36",5.0,0.0,1800,,QA,,,1800
4193,Software Engineer,JavaScript,,2.0,1.5,1600,800,Київ,до 50 осіб,Продуктова,чоловіча,25,Вища,КНЕУ,False,Upper-Intermediate (вище середнього),Веб-розробка,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,1.5,1600,,DEV,,,1600
4194,Junior QA engineer,,Automation QA,0.25,0.25,540,0,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,25,Вища,КНУ ім. Шевченко,False,Upper-Intermediate (вище середнього),Фінанси та банкінг,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.25,0.25,540,,QA,,,540
4195,Junior Software Engineer,JavaScript,,3.0,1.0,100,0,Хмельницький,до 10 осіб,Стартап,чоловіча,25,Вища,ХНУ [м. Хмельницький],False,Elementary (початковий),"Веб-розробка,Gamedev",,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,100,,DEV,,,100
4196,Marketing,,,0.25,0.25,270,0,Київ,до 10 осіб,Інша,чоловіча,21,Неповна Вища,Інший ВНЗ,True,Intermediate (середній),eCommerce,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,270,,,,,270
4197,Software Engineer,C#/.NET,,1.0,0.25,1800,300,Київ,до 10 осіб,Продуктова,чоловіча,29,Вища,СумГУ,False,Upper-Intermediate (вище середнього),Desktop Applications,,"Mozilla/5.0 (Linux; Android 5.1.1; SM-J120H Build/LMY47V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.25,1800,,DEV,,,1800
4198,Junior Software Engineer,Java,,2.0,1.5,800,500,Чернівці,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,Львівська Політехніка,False,Advanced (просунутий),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898",2.0,1.5,800,,DEV,,,800
4199,Junior Software Engineer,JavaScript,,0.5,0.5,650,650,Харків,до 10 осіб,Продуктова,чоловіча,28,Вища,НТУ «ХПІ»,False,Pre-intermediate (нище середнього),Веб-розробка,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,650,,DEV,,,650
4200,QA engineer,,Manual QA,3.0,,1000,300,Київ,до 200 осіб,Аутсорсингова,чоловіча,29,Вища,Інший ВНЗ,False,Upper-Intermediate (вище середнього),"Android, Веб-розробка",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,0.0,1000,,QA,,,1000
4201,Software Engineer,C#/.NET,,3.0,2.0,2500,300,Харків,до 200 осіб,Аутсорсингова,жіноча,35,Кандидат,ХНУ ім. Каразіна,False,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,2.0,2500,,DEV,,,2500
4202,Software Engineer,1С,,5.0,3.0,1000,200,Київ,до 10 осіб,Інша,чоловіча,28,Вища,ГУТ,False,Pre-intermediate (нище середнього),"Фінанси та банкінг,Корпоративні системи",,"Mozilla/5.0 (Linux; Android 6.0.1; SM-J700H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",5.0,3.0,1000,,DEV,,,1000
4203,Team lead,,,7.0,0.5,4800,1500,Київ,до 10 осіб,Продуктова,чоловіча,27,Вища,КНЕУ,False,Advanced (просунутий),eCommerce,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.5,4800,,PM,,,4800
4204,Project manager,,,1.5,1.5,1000,400,Дніпро,до 50 осіб,Аутсорсингова,чоловіча,24,Вища,НГУ [Дніпро],False,Upper-Intermediate (вище середнього),"iOS,Веб-розробка",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,1000,,PM,,,1000
4205,Technical Lead,PHP,,6.0,1.0,4900,1000,Київ,більше 1000 осіб,Аутсорсингова,чоловіча,28,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),eCommerce,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",6.0,1.0,4900,,SDEV,,,4900
4206,Product Manager,,,2.0,0.5,1400,200,Київ,до 1000 осіб,Продуктова,чоловіча,31,Вища,НметАУ,False,Intermediate (середній),Gamedev,,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89",2.0,0.5,1400,,,,,1400
4207,Senior Software Engineer,PHP,,5.0,3.0,1200,500,Ужгород,до 50 осіб,Аутсорсингова,чоловіча,34,Вища,ДНУ ім. Гончара,False,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,1200,,DEV,,,1200
4208,Software Engineer,C#/.NET,,3.0,3.0,1000,200,Вінниця,до 50 осіб,Аутстафінгова,чоловіча,23,Вища,ВНТУ,False,Upper-Intermediate (вище середнього),"Desktop Applications,Корпоративні системи",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063",3.0,3.0,1000,,DEV,,,1000
4209,Junior Software Engineer,JavaScript,,3.0,1.0,100,50,Львів,більше 1000 осіб,Аутсорсингова,чоловіча,20,Вища,Львівська Політехніка,True,Intermediate (середній),Веб-розробка,,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,100,,DEV,,,100
4210,Junior Software Engineer,PHP,,0.25,0.25,300,0,Київ,до 10 осіб,Продуктова,чоловіча,25,Вища,Інший ВНЗ,False,Intermediate (середній),Веб-розробка,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,0.25,0.25,300,,DEV,,,300
4211,Sysadmin,,,,2.0,665,0,Одеса,до 1000 осіб,Аутстафінгова,чоловіча,32,Середня,,False,Intermediate (середній),"Телекомунікації,eCommerce",,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,2.0,665,,,,,665
4212,Junior Software Engineer,Java,,0.5,0.5,500,150,Київ,до 10 осіб,Продуктова,чоловіча,26,Вища,Інший ВНЗ,False,Pre-intermediate (нище середнього),"Веб-розробка,eCommerce",,"Mozilla/5.0 (Linux; Android 6.0; U10 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.68 Mobile Safari/537.36",0.5,0.5,500,,DEV,,,500
4213,Senior Software Engineer,SQL,,,3.0,2600,400,Інше,до 200 осіб,Аутсорсингова,чоловіча,31,Вища,НТУУ «КПІ»,False,Upper-Intermediate (вище середнього),"Телекомунікації,Фінанси та банкінг",,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,3.0,2600,,DEV,,,2600
4214,Software Engineer,JavaScript,,2.0,0.5,2500,1150,Київ,до 1000 осіб,Аутсорсингова,чоловіча,27,Вища,КНУСА,False,Upper-Intermediate (вище середнього),Веб-розробка,,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi Note 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,0.5,2500,,DEV,,,2500
4215,QA engineer,,Manual QA,1.5,1.0,900,450,Київ,до 10 осіб,Продуктова,чоловіча,27,Вища,НТУУ «КПІ»,False,Intermediate (середній),Веб-розробка,,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,1.0,900,,QA,,,900
4216,Junior Software Engineer,C#/.NET,,,,300,0,Львів,до 10 осіб,Стартап,чоловіча,18,Середня,,True,Upper-Intermediate (вище середнього),"Android, Веб-розробка",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,0.0,300,,DEV,,,300
4217,Senior Project Manager / Program Manager,,,,7.0,6000,0,Київ,до 1000 осіб,Продуктова,чоловіча,35,Вища,НТУУ «КПІ»,False,Intermediate (середній),"Веб-розробка,Корпоративні системи",,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",10.0,7.0,6000,,SPM,,,6000
